MAF3.0信号,MAF3.0信号,信号名称,共享内存内部信号,取值范围 单位 DBC名称,理论值factor,理论值offset,MAF获取理论值真值,MAF获取理论值,允许误差%,0不测试 1测试,0：上行 1：下行,发送信号值,发送信号值,发送信号值
ChassisReport,wheel_position_report,front_right,WssFREdgesSum,[0|1023] NA CCU_FR_whl_pulse_cnt_S,1,0,20,20,5,1,0,20,,
ChassisReport,wheel_position_report,rear_left,WssRLEdgesSum,[0|1023] NA CCU_RL_whl_pulse_cnt_S,1,0,30,30,5,1,0,30,,
ChassisReport,wheel_position_report,rear_right,WssRREdgesSum,[0|1023] NA CCU_RR_whl_pulse_cnt_S,1,0,40,40,5,1,0,40,,
WheelReport,wheel_speed_report,front_left,FLWheelSpd,[0|281.4625] km/h Ipb_whl_spd_FL_S,0.7467,0,7.467,Senddata * Factor + Offset,5,1,0,10,,
WheelReport,wheel_speed_report,front_right,FRWheelSpd,[0|281.4625] km/h Ipb_whl_spd_FL_S,0.7467,0,14.934,Senddata * Factor + Offset,5,1,0,20,,
WheelReport,wheel_speed_report,rear_left,RLWheelSpd,[0|281.4625] km/h Ipb_whl_spd_FL_S,0.7467,0,37.335,Senddata * Factor + Offset,5,1,0,50,,
WheelReport,wheel_speed_report,rear_right,RRWheelSpd,[0|281.4625] km/h Ipb_whl_spd_FL_S,0.7467,0,74.67,Senddata * Factor + Offset,5,1,0,100,,
WheelReport,vehicle_imu_report,linear_acceleration_lon,linear_acceleration_lon,"[0|4095] ""g""Imu_x_axis_acce_S0",1,0,8,Senddata * Factor + Offset,0,1,0,8,,
WheelReport,vehicle_imu_report,linear_acceleration_vert,linear_acceleration_vert,"[0|4095] ""g""Imu_z_axis_acce_S0",1,0,8,Senddata * Factor + Offset,0,1,0,8,,
BodyReport,vehicle_light_report,turn_signal_type,turn_signal_type,[0|15] Turn_Signal_Work_Condition_38A_S,1,0,2,"=IF(F24=4,2,2)",0,1,0,4,,
BodyReport,vehicle_light_report,width_light,width_light,[0|3] Rear_Position_Light_Status_S,NA,NA,1,"=IF(F25=1,1,0)",0,1,0,1,,
BodyReport,vehicle_light_report,reversing_light,reversing_light,[0|3] Backlight_38A_S,NA,NA,1,"=IF(F26=1,1,0)",0,1,0,1,,
BodyReport,vehicle_light_report,rear_fog_light,rear_fog_light,[0|3] Back_Fog_Light_38A_S,NA,NA,1,"=IF(F27=1,1,0)",0,1,0,1,,
BodyReport,vehicle_light_report,lever_state,lever_state_light,[0|7] Turn_Signal_Switch_S,1,0,2,Senddata * Factor + Offset,0,0,0,2,,
BodyReport,vehicle_light_report,button_event_array,button_event_array[0],SWS_Dist_Switch_Signal_Down_S,1,0,1,Senddata * Factor + Offset,0,1,0,1,,
BodyReport,button_report,button_event_array,button_event_array[1],SWS_Dist_Switch_Signal_Up_S,1,0,1,Senddata * Factor + Offset,0,1,0,1,,
BodyReport,button_report,button_event_array,button_event_array[2],ACC_Switch_Signal_S,1,0,1,Senddata * Factor + Offset,0,1,0,1,,
BodyReport,button_report,button_event_array,button_event_array[3],Dipilot_Switch_Signal_S,1,0,1,Senddata * Factor + Offset,0,1,0,1,,
BodyReport,button_report,button_event_array,button_event_array[4],SWS_Speed_Set_S==1,1,0,1,Senddata * Factor + Offset,0,1,0,1,,
BodyReport,door_report,opened_door_array,opened_door_array[0],Left_Front_Door_Status_294_S ,1,0,1,Senddata * Factor + Offset,0,1,0,1,,
BodyReport,door_report,opened_door_array,opened_door_array[1],Right_Front_Door_Status_294_S,1,0,1,Senddata * Factor + Offset,0,1,0,1,,
BodyReport,door_report,opened_door_array,opened_door_array[2],Left_Back_Door_Status_294_S  ,1,0,1,Senddata * Factor + Offset,0,1,0,1,,
BodyReport,door_report,opened_door_array,opened_door_array[3],Right_Back_Door_Status_294_S ,1,0,1,Senddata * Factor + Offset,0,1,0,1,,
BodyReport,door_report,opened_door_array,opened_door_array[4],Former_Hatch_Stauts_294_S    ,1,0,1,Senddata * Factor + Offset,0,1,0,1,,
BodyReport,door_report,opened_door_array,opened_door_array[5],Back_Door_Status_294_S     ,1,0,1,Senddata * Factor + Offset,0,1,0,1,,
BodyReport,tire_report,front_left,FLTirePress,Single_Tire_Press_Value_S,1,0,100,Senddata * Factor + Offset,0,1,0,100,,
BodyReport,tire_report,front_right,FRTirePress,Single_Tire_Press_Value_S,1,0,200,Senddata * Factor + Offset,0,1,0,200,,
BodyReport,tire_report,rear_left,RLTirePress,Single_Tire_Press_Value_S,1,0,300,Senddata * Factor + Offset,0,1,0,300,,
BodyReport,tire_report,rear_right,RRTirePress,Single_Tire_Press_Value_S,1,0,400,Senddata * Factor + Offset,0,1,0,400,,
BodyReport,energy_remaining_report,remaining_mileage,remaining_mileage,Limited_Drive_Distance_EV_4A5_S,1,0,100,Senddata * Factor + Offset,0,1,0,100,,
BodyReport,auxiliary_report,rearview_mirror,rearview_mirror,Fldig_Extrr_Mrors_Expand_S,NA,NA,1,"=IF(F45=1,1,0)",0,1,0,1,,
BodyReport,auxiliary_report,vehicle_lock,vehicle_lock[0],FL_Door_Lock_Sttus407_S等5个,NA,NA,1,"=IF(F46=2,1,0)",0,1,0,2,,
BodyReport,auxiliary_report,rain_sensor_level,rain_sensor_level,Rainfall_Values_S,1,0,2,"=IFS(F47<4,0,F47<7,1,F47<11,2,F47<15,3)",0,1,0,10,,
BodyReport,auxiliary_report,vehicle_outside_temp,vehicle_outside_temp,ACHMC_Outside_Temperature_S,1,0,100,Senddata * Factor + Offset,0,1,0,100,,
BodyReport,auxiliary_report,vehicle_speed_on_dashboard,vehicle_speed_on_dashboard,Speed_Signal_151_S,0.2778,0,5.556,Senddata * Factor + Offset,2,1,0,20,,
UltrasonicUpaReport,uss_upa_distance.sonar[0] ,每个区域最近的障碍物的距离fls,sonar[0],cm,0.01,0,0.1,Senddata * Factor + Offset,0,1,0,10,,
UltrasonicUpaReport,uss_upa_distance.sonar[1] ,每个区域最近的障碍物的距离flc,sonar[1],cm,0.01,0,0.11,Senddata * Factor + Offset,0,1,0,11,,
UltrasonicUpaReport,uss_upa_distance.sonar[2] ,每个区域最近的障碍物的距离flm,sonar[2],cm,0.01,0,0.12,Senddata * Factor + Offset,0,1,0,12,,
UltrasonicUpaReport,uss_upa_distance.sonar[3] ,每个区域最近的障碍物的距离frm,sonar[3],cm,0.01,0,0.13,Senddata * Factor + Offset,0,1,0,13,,
UltrasonicUpaReport,uss_upa_distance.sonar[4] ,每个区域最近的障碍物的距离frc,sonar[4],cm,0.01,0,0.14,Senddata * Factor + Offset,0,1,0,14,,
UltrasonicUpaReport,uss_upa_distance.sonar[5] ,每个区域最近的障碍物的距离frs,sonar[5],cm,0.01,0,0.15,Senddata * Factor + Offset,0,1,0,15,,
UltrasonicUpaReport,uss_upa_distance.sonar[6] ,每个区域最近的障碍物的距离rls,sonar[6],cm,0.01,0,0.16,Senddata * Factor + Offset,0,1,0,16,,
UltrasonicUpaReport,uss_upa_distance.sonar[7] ,每个区域最近的障碍物的距离rlc,sonar[7],cm,0.01,0,0.17,Senddata * Factor + Offset,0,1,0,17,,
UltrasonicUpaReport,uss_upa_distance.sonar[8] ,每个区域最近的障碍物的距离rlm,sonar[8],cm,0.01,0,0.18,Senddata * Factor + Offset,0,1,0,18,,
UltrasonicUpaReport,uss_upa_distance.sonar[9] ,每个区域最近的障碍物的距离rrm,sonar[9],cm,0.01,0,0.19,Senddata * Factor + Offset,0,1,0,19,,
UltrasonicUpaReport,uss_upa_distance.sonar[10],每个区域最近的障碍物的距离rrc,sonar[10],cm,0.01,0,0.2,Senddata * Factor + Offset,0,1,0,20,,
UltrasonicUpaReport,uss_upa_distance.sonar[11],每个区域最近的障碍物的距离rrs,sonar[11],cm,0.01,0,0.21,Senddata * Factor + Offset,0,1,0,21,,
UltrasonicParkslotReport,uss_parkslot_result[0].meta.timestamp_us,车位时间戳(0-9左侧),park_timestamp[0],ms,1000,0,1655894690000000,Senddata * Factor + Offset,0,1,0,1655894690000,,
UltrasonicParkslotReport,uss_parkslot_result[1].meta.timestamp_us,车位时间戳(0-9左侧),park_timestamp[1],ms,1000,0,1655894690001000,Senddata * Factor + Offset,0,1,0,1655894690001,,
UltrasonicParkslotReport,uss_parkslot_result[2].meta.timestamp_us,车位时间戳(0-9左侧),park_timestamp[2],ms,1000,0,1655894690002000,Senddata * Factor + Offset,0,1,0,1655894690002,,
UltrasonicParkslotReport,uss_parkslot_result[3].meta.timestamp_us,车位时间戳(0-9左侧),park_timestamp[3],ms,1000,0,1655894690003000,Senddata * Factor + Offset,0,1,0,1655894690003,,
UltrasonicParkslotReport,uss_parkslot_result[4].meta.timestamp_us,车位时间戳(0-9左侧),park_timestamp[4],ms,1000,0,1655894690004000,Senddata * Factor + Offset,0,1,0,1655894690004,,
UltrasonicParkslotReport,uss_parkslot_result[5].meta.timestamp_us,车位时间戳(0-9左侧),park_timestamp[5],ms,1000,0,1655894690005000,Senddata * Factor + Offset,0,1,0,1655894690005,,
UltrasonicParkslotReport,uss_parkslot_result[6].meta.timestamp_us,车位时间戳(0-9左侧),park_timestamp[6],ms,1000,0,1655894690006000,Senddata * Factor + Offset,0,1,0,1655894690006,,
UltrasonicParkslotReport,uss_parkslot_result[7].meta.timestamp_us,车位时间戳(0-9左侧),park_timestamp[7],ms,1000,0,1655894690007000,Senddata * Factor + Offset,0,1,0,1655894690007,,
UltrasonicParkslotReport,uss_parkslot_result[8].meta.timestamp_us,车位时间戳(0-9左侧),park_timestamp[8],ms,1000,0,1655894690008000,Senddata * Factor + Offset,0,1,0,1655894690008,,
UltrasonicParkslotReport,uss_parkslot_result[9].meta.timestamp_us,车位时间戳(0-9左侧),park_timestamp[9],ms,1000,0,1655894690009000,Senddata * Factor + Offset,0,1,0,1655894690009,,
UltrasonicParkslotReport,uss_parkslot_result[10].meta.timestamp_us,车位时间戳(10-19右侧),park_timestamp[10],ms,1000,0,1655894690010000,Senddata * Factor + Offset,0,1,0,1655894690010,,
UltrasonicParkslotReport,uss_parkslot_result[11].meta.timestamp_us,车位时间戳(10-19右侧),park_timestamp[11],ms,1000,0,1655894690011000,Senddata * Factor + Offset,0,1,0,1655894690011,,
UltrasonicParkslotReport,uss_parkslot_result[12].meta.timestamp_us,车位时间戳(10-19右侧),park_timestamp[12],ms,1000,0,1655894690012000,Senddata * Factor + Offset,0,1,0,1655894690012,,
UltrasonicParkslotReport,uss_parkslot_result[13].meta.timestamp_us,车位时间戳(10-19右侧),park_timestamp[13],ms,1000,0,1655894690013000,Senddata * Factor + Offset,0,1,0,1655894690013,,
UltrasonicParkslotReport,uss_parkslot_result[14].meta.timestamp_us,车位时间戳(10-19右侧),park_timestamp[14],ms,1000,0,1655894690014000,Senddata * Factor + Offset,0,1,0,1655894690014,,
UltrasonicParkslotReport,uss_parkslot_result[15].meta.timestamp_us,车位时间戳(10-19右侧),park_timestamp[15],ms,1000,0,1655894690015000,Senddata * Factor + Offset,0,1,0,1655894690015,,
UltrasonicParkslotReport,uss_parkslot_result[16].meta.timestamp_us,车位时间戳(10-19右侧),park_timestamp[16],ms,1000,0,1655894690016000,Senddata * Factor + Offset,0,1,0,1655894690016,,
UltrasonicParkslotReport,uss_parkslot_result[17].meta.timestamp_us,车位时间戳(10-19右侧),park_timestamp[17],ms,1000,0,1655894690017000,Senddata * Factor + Offset,0,1,0,1655894690017,,
UltrasonicParkslotReport,uss_parkslot_result[18].meta.timestamp_us,车位时间戳(10-19右侧),park_timestamp[18],ms,1000,0,1655894690018000,Senddata * Factor + Offset,0,1,0,1655894690018,,
UltrasonicParkslotReport,uss_parkslot_result[19].meta.timestamp_us,车位时间戳(10-19右侧),park_timestamp[19],ms,1000,0,1655894690019000,Senddata * Factor + Offset,0,1,0,1655894690019,,
UltrasonicParkslotReport,uss_parkslot_result[0].parkslot_id,对应车位是否找到,park_slot_found[0],NA,NA,NA,0,"=IF(F82=2,0,0)",0,1,0,2,,
UltrasonicParkslotReport,uss_parkslot_result[1].parkslot_id,对应车位是否找到,park_slot_found[1],NA,NA,NA,1,"=IF(F83=2,1,0)",0,1,0,2,,
UltrasonicParkslotReport,uss_parkslot_result[2].parkslot_id,对应车位是否找到,park_slot_found[2],NA,NA,NA,2,"=IF(F84=2,2,0)",0,1,0,2,,
UltrasonicParkslotReport,uss_parkslot_result[3].parkslot_id,对应车位是否找到,park_slot_found[3],NA,NA,NA,3,"=IF(F85=2,3,0)",0,1,0,2,,
UltrasonicParkslotReport,uss_parkslot_result[4].parkslot_id,对应车位是否找到,park_slot_found[4],NA,NA,NA,4,"=IF(F86=2,4,0)",0,1,0,2,,
UltrasonicParkslotReport,uss_parkslot_result[5].parkslot_id,对应车位是否找到,park_slot_found[5],NA,NA,NA,5,"=IF(F87=2,5,0)",0,1,0,2,,
UltrasonicParkslotReport,uss_parkslot_result[6].parkslot_id,对应车位是否找到,park_slot_found[6],NA,NA,NA,6,"=IF(F88=2,6,0)",0,1,0,2,,
UltrasonicParkslotReport,uss_parkslot_result[7].parkslot_id,对应车位是否找到,park_slot_found[7],NA,NA,NA,7,"=IF(F89=2,7,0)",0,1,0,2,,
UltrasonicParkslotReport,uss_parkslot_result[8].parkslot_id,对应车位是否找到,park_slot_found[8],NA,NA,NA,8,"=IF(F90=2,8,0)",0,1,0,2,,
UltrasonicParkslotReport,uss_parkslot_result[9].parkslot_id,对应车位是否找到,park_slot_found[9],NA,NA,NA,9,"=IF(F91=2,9,0)",0,1,0,2,,
UltrasonicParkslotReport,uss_parkslot_result[10].parkslot_id,对应车位是否找到,park_slot_found[10],NA,NA,NA,10,"=IF(F92=2,10,0)",0,1,0,2,,
UltrasonicParkslotReport,uss_parkslot_result[11].parkslot_id,对应车位是否找到,park_slot_found[11],NA,NA,NA,11,"=IF(F93=2,11,0)",0,1,0,2,,
UltrasonicParkslotReport,uss_parkslot_result[12].parkslot_id,对应车位是否找到,park_slot_found[12],NA,NA,NA,12,"=IF(F94=2,12,0)",0,1,0,2,,
UltrasonicParkslotReport,uss_parkslot_result[13].parkslot_id,对应车位是否找到,park_slot_found[13],NA,NA,NA,13,"=IF(F95=2,13,0)",0,1,0,2,,
UltrasonicParkslotReport,uss_parkslot_result[14].parkslot_id,对应车位是否找到,park_slot_found[14],NA,NA,NA,14,"=IF(F96=2,14,0)",0,1,0,2,,
UltrasonicParkslotReport,uss_parkslot_result[15].parkslot_id,对应车位是否找到,park_slot_found[15],NA,NA,NA,15,"=IF(F97=2,15,0)",0,1,0,2,,
UltrasonicParkslotReport,uss_parkslot_result[16].parkslot_id,对应车位是否找到,park_slot_found[16],NA,NA,NA,16,"=IF(F98=2,16,0)",0,1,0,2,,
UltrasonicParkslotReport,uss_parkslot_result[17].parkslot_id,对应车位是否找到,park_slot_found[17],NA,NA,NA,17,"=IF(F99=2,17,0)",0,1,0,2,,
UltrasonicParkslotReport,uss_parkslot_result[18].parkslot_id,对应车位是否找到,park_slot_found[18],NA,NA,NA,18,"=IF(F100=2,18,0)",0,1,0,2,,
UltrasonicParkslotReport,uss_parkslot_result[19].parkslot_id,对应车位是否找到,park_slot_found[19],NA,NA,NA,19,"=IF(F101=2,19,0)",0,1,0,2,,
UltrasonicParkslotReport,uss_parkslot_result[0].veh_obj1_x,车位第1点x坐标,parkslot_obj1_x[0],cm,0.01,0,0,Senddata * Factor + Offset,0,1,0,0,,
UltrasonicParkslotReport,uss_parkslot_result[1].veh_obj1_x,车位第1点x坐标,parkslot_obj1_x[1],cm,0.01,0,0.01,Senddata * Factor + Offset,0,1,0,1,,
UltrasonicParkslotReport,uss_parkslot_result[2].veh_obj1_x,车位第1点x坐标,parkslot_obj1_x[2],cm,0.01,0,0.02,Senddata * Factor + Offset,0,1,0,2,,
UltrasonicParkslotReport,uss_parkslot_result[3].veh_obj1_x,车位第1点x坐标,parkslot_obj1_x[3],cm,0.01,0,0.03,Senddata * Factor + Offset,0,1,0,3,,
UltrasonicParkslotReport,uss_parkslot_result[4].veh_obj1_x,车位第1点x坐标,parkslot_obj1_x[4],cm,0.01,0,0.04,Senddata * Factor + Offset,0,1,0,4,,
UltrasonicParkslotReport,uss_parkslot_result[5].veh_obj1_x,车位第1点x坐标,parkslot_obj1_x[5],cm,0.01,0,0.05,Senddata * Factor + Offset,0,1,0,5,,
UltrasonicParkslotReport,uss_parkslot_result[6].veh_obj1_x,车位第1点x坐标,parkslot_obj1_x[6],cm,0.01,0,0.06,Senddata * Factor + Offset,0,1,0,6,,
UltrasonicParkslotReport,uss_parkslot_result[7].veh_obj1_x,车位第1点x坐标,parkslot_obj1_x[7],cm,0.01,0,0.07,Senddata * Factor + Offset,0,1,0,7,,
UltrasonicParkslotReport,uss_parkslot_result[8].veh_obj1_x,车位第1点x坐标,parkslot_obj1_x[8],cm,0.01,0,0.08,Senddata * Factor + Offset,0,1,0,8,,
UltrasonicParkslotReport,uss_parkslot_result[9].veh_obj1_x,车位第1点x坐标,parkslot_obj1_x[9],cm,0.01,0,0.09,Senddata * Factor + Offset,0,1,0,9,,
UltrasonicParkslotReport,uss_parkslot_result[10].veh_obj1_x,车位第1点x坐标,parkslot_obj1_x[10],cm,0.01,0,0.1,Senddata * Factor + Offset,0,1,0,10,,
UltrasonicParkslotReport,uss_parkslot_result[11].veh_obj1_x,车位第1点x坐标,parkslot_obj1_x[11],cm,0.01,0,0.11,Senddata * Factor + Offset,0,1,0,11,,
UltrasonicParkslotReport,uss_parkslot_result[12].veh_obj1_x,车位第1点x坐标,parkslot_obj1_x[12],cm,0.01,0,0.12,Senddata * Factor + Offset,0,1,0,12,,
UltrasonicParkslotReport,uss_parkslot_result[13].veh_obj1_x,车位第1点x坐标,parkslot_obj1_x[13],cm,0.01,0,0.13,Senddata * Factor + Offset,0,1,0,13,,
UltrasonicParkslotReport,uss_parkslot_result[14].veh_obj1_x,车位第1点x坐标,parkslot_obj1_x[14],cm,0.01,0,0.14,Senddata * Factor + Offset,0,1,0,14,,
UltrasonicParkslotReport,uss_parkslot_result[15].veh_obj1_x,车位第1点x坐标,parkslot_obj1_x[15],cm,0.01,0,0.15,Senddata * Factor + Offset,0,1,0,15,,
UltrasonicParkslotReport,uss_parkslot_result[16].veh_obj1_x,车位第1点x坐标,parkslot_obj1_x[16],cm,0.01,0,0.16,Senddata * Factor + Offset,0,1,0,16,,
UltrasonicParkslotReport,uss_parkslot_result[17].veh_obj1_x,车位第1点x坐标,parkslot_obj1_x[17],cm,0.01,0,0.17,Senddata * Factor + Offset,0,1,0,17,,
UltrasonicParkslotReport,uss_parkslot_result[18].veh_obj1_x,车位第1点x坐标,parkslot_obj1_x[18],cm,0.01,0,0.18,Senddata * Factor + Offset,0,1,0,18,,
UltrasonicParkslotReport,uss_parkslot_result[19].veh_obj1_x,车位第1点x坐标,parkslot_obj1_x[19],cm,0.01,0,0.19,Senddata * Factor + Offset,0,1,0,19,,
UltrasonicParkslotReport,uss_parkslot_result[0].veh_obj1_y,车位第1点y坐标,parkslot_obj1_y[0],cm,0.01,0,0.2,Senddata * Factor + Offset,0,1,0,20,,
UltrasonicParkslotReport,uss_parkslot_result[1].veh_obj1_y,车位第1点y坐标,parkslot_obj1_y[1],cm,0.01,0,0.21,Senddata * Factor + Offset,0,1,0,21,,
UltrasonicParkslotReport,uss_parkslot_result[2].veh_obj1_y,车位第1点y坐标,parkslot_obj1_y[2],cm,0.01,0,0.22,Senddata * Factor + Offset,0,1,0,22,,
UltrasonicParkslotReport,uss_parkslot_result[3].veh_obj1_y,车位第1点y坐标,parkslot_obj1_y[3],cm,0.01,0,0.23,Senddata * Factor + Offset,0,1,0,23,,
UltrasonicParkslotReport,uss_parkslot_result[4].veh_obj1_y,车位第1点y坐标,parkslot_obj1_y[4],cm,0.01,0,0.24,Senddata * Factor + Offset,0,1,0,24,,
UltrasonicParkslotReport,uss_parkslot_result[5].veh_obj1_y,车位第1点y坐标,parkslot_obj1_y[5],cm,0.01,0,0.25,Senddata * Factor + Offset,0,1,0,25,,
UltrasonicParkslotReport,uss_parkslot_result[6].veh_obj1_y,车位第1点y坐标,parkslot_obj1_y[6],cm,0.01,0,0.26,Senddata * Factor + Offset,0,1,0,26,,
UltrasonicParkslotReport,uss_parkslot_result[7].veh_obj1_y,车位第1点y坐标,parkslot_obj1_y[7],cm,0.01,0,0.27,Senddata * Factor + Offset,0,1,0,27,,
UltrasonicParkslotReport,uss_parkslot_result[8].veh_obj1_y,车位第1点y坐标,parkslot_obj1_y[8],cm,0.01,0,0.28,Senddata * Factor + Offset,0,1,0,28,,
UltrasonicParkslotReport,uss_parkslot_result[9].veh_obj1_y,车位第1点y坐标,parkslot_obj1_y[9],cm,0.01,0,0.29,Senddata * Factor + Offset,0,1,0,29,,
UltrasonicParkslotReport,uss_parkslot_result[10].veh_obj1_y,车位第1点y坐标,parkslot_obj1_y[10],cm,0.01,0,0.3,Senddata * Factor + Offset,0,1,0,30,,
UltrasonicParkslotReport,uss_parkslot_result[11].veh_obj1_y,车位第1点y坐标,parkslot_obj1_y[11],cm,0.01,0,0.31,Senddata * Factor + Offset,0,1,0,31,,
UltrasonicParkslotReport,uss_parkslot_result[12].veh_obj1_y,车位第1点y坐标,parkslot_obj1_y[12],cm,0.01,0,0.32,Senddata * Factor + Offset,0,1,0,32,,
UltrasonicParkslotReport,uss_parkslot_result[13].veh_obj1_y,车位第1点y坐标,parkslot_obj1_y[13],cm,0.01,0,0.33,Senddata * Factor + Offset,0,1,0,33,,
UltrasonicParkslotReport,uss_parkslot_result[14].veh_obj1_y,车位第1点y坐标,parkslot_obj1_y[14],cm,0.01,0,0.34,Senddata * Factor + Offset,0,1,0,34,,
UltrasonicParkslotReport,uss_parkslot_result[15].veh_obj1_y,车位第1点y坐标,parkslot_obj1_y[15],cm,0.01,0,0.35,Senddata * Factor + Offset,0,1,0,35,,
UltrasonicParkslotReport,uss_parkslot_result[16].veh_obj1_y,车位第1点y坐标,parkslot_obj1_y[16],cm,0.01,0,0.36,Senddata * Factor + Offset,0,1,0,36,,
UltrasonicParkslotReport,uss_parkslot_result[17].veh_obj1_y,车位第1点y坐标,parkslot_obj1_y[17],cm,0.01,0,0.37,Senddata * Factor + Offset,0,1,0,37,,
UltrasonicParkslotReport,uss_parkslot_result[18].veh_obj1_y,车位第1点y坐标,parkslot_obj1_y[18],cm,0.01,0,0.38,Senddata * Factor + Offset,0,1,0,38,,
UltrasonicParkslotReport,uss_parkslot_result[19].veh_obj1_y,车位第1点y坐标,parkslot_obj1_y[19],cm,0.01,0,0.39,Senddata * Factor + Offset,0,1,0,39,,
UltrasonicParkslotReport,uss_parkslot_result[0].veh_obj2_x,车位第2点x坐标,parkslot_obj2_x[0],cm,0.01,0,0,Senddata * Factor + Offset,0,1,0,0,,
UltrasonicParkslotReport,uss_parkslot_result[1].veh_obj2_x,车位第2点x坐标,parkslot_obj2_x[1],cm,0.01,0,0.01,Senddata * Factor + Offset,0,1,0,1,,
UltrasonicParkslotReport,uss_parkslot_result[2].veh_obj2_x,车位第2点x坐标,parkslot_obj2_x[2],cm,0.01,0,0.02,Senddata * Factor + Offset,0,1,0,2,,
UltrasonicParkslotReport,uss_parkslot_result[3].veh_obj2_x,车位第2点x坐标,parkslot_obj2_x[3],cm,0.01,0,0.03,Senddata * Factor + Offset,0,1,0,3,,
UltrasonicParkslotReport,uss_parkslot_result[4].veh_obj2_x,车位第2点x坐标,parkslot_obj2_x[4],cm,0.01,0,0.04,Senddata * Factor + Offset,0,1,0,4,,
UltrasonicParkslotReport,uss_parkslot_result[5].veh_obj2_x,车位第2点x坐标,parkslot_obj2_x[5],cm,0.01,0,0.05,Senddata * Factor + Offset,0,1,0,5,,
UltrasonicParkslotReport,uss_parkslot_result[6].veh_obj2_x,车位第2点x坐标,parkslot_obj2_x[6],cm,0.01,0,0.06,Senddata * Factor + Offset,0,1,0,6,,
UltrasonicParkslotReport,uss_parkslot_result[7].veh_obj2_x,车位第2点x坐标,parkslot_obj2_x[7],cm,0.01,0,0.07,Senddata * Factor + Offset,0,1,0,7,,
UltrasonicParkslotReport,uss_parkslot_result[8].veh_obj2_x,车位第2点x坐标,parkslot_obj2_x[8],cm,0.01,0,0.08,Senddata * Factor + Offset,0,1,0,8,,
UltrasonicParkslotReport,uss_parkslot_result[9].veh_obj2_x,车位第2点x坐标,parkslot_obj2_x[9],cm,0.01,0,0.09,Senddata * Factor + Offset,0,1,0,9,,
UltrasonicParkslotReport,uss_parkslot_result[10].veh_obj2_x,车位第2点x坐标,parkslot_obj2_x[10],cm,0.01,0,0.1,Senddata * Factor + Offset,0,1,0,10,,
UltrasonicParkslotReport,uss_parkslot_result[11].veh_obj2_x,车位第2点x坐标,parkslot_obj2_x[11],cm,0.01,0,0.11,Senddata * Factor + Offset,0,1,0,11,,
UltrasonicParkslotReport,uss_parkslot_result[12].veh_obj2_x,车位第2点x坐标,parkslot_obj2_x[12],cm,0.01,0,0.12,Senddata * Factor + Offset,0,1,0,12,,
UltrasonicParkslotReport,uss_parkslot_result[13].veh_obj2_x,车位第2点x坐标,parkslot_obj2_x[13],cm,0.01,0,0.13,Senddata * Factor + Offset,0,1,0,13,,
UltrasonicParkslotReport,uss_parkslot_result[14].veh_obj2_x,车位第2点x坐标,parkslot_obj2_x[14],cm,0.01,0,0.14,Senddata * Factor + Offset,0,1,0,14,,
